device_id;user_id;device_type;os;browser;first_seen;is_trusted
1;3372;tablet;MacOS;Edge;13/05/2023;yes
2;4899;desktop;Linux;Firefox;09/06/2024;no
3;1488;tablet;MacOS;Firefox;25/06/2024;False
4;4867;Mobile;android;Firefox;01/05/2023;True
5;1264;tablet;iOS;Edge;06/08/2023;yes
6;5137;Mobile;ios;;11/04/2024;1
7;1601;desktop;android;Firefox;29/04/2024;1
8;3317;desktop;MacOS;Firefox;03/02/2023;yes
9;173;Mobile;Windows;Firefox;10/06/2023;0
10;3029;Tablet;iOS;Firefox;26/07/2024;no
11;2624;Mobile;Linux;Safari;14/01/2024;0
12;5058;Tablet;Windows;chrome;02/05/2023;0
13;5361;tablet;android;Chrome;08/09/2024;0
14;1846;Tablet;Windows;Firefox;23/02/2024;0
15;3760;desktop;;Edge;23/04/2023;False
16;3708;Tablet;Linux;Firefox;04/05/2023;no
17;448;tablet;android;Safari;14/01/2024;0
18;3135;Tablet;Android;SAFARI;08/08/2024;True
19;5354;Tablet;Windows;chrome;24/10/2023;1
20;2577;mobile;;Firefox;11/02/2023;no
21;685;Tablet;Linux;Edge;19/06/2024;0
22;3349;Tablet;android;Edge;06/06/2023;True
23;2977;Tablet;Windows;chrome;01/05/2023;1
24;1752;Mobile;Android;SAFARI;16/01/2024;no
25;311;desktop;MacOS;chrome;09/11/2023;1
26;2428;mobile;android;Chrome;19/01/2024;0
27;179;Tablet;;Edge;07/11/2023;1
28;3584;Tablet;ios;;29/10/2023;no
29;4466;tablet;android;chrome;12/05/2024;True
30;803;mobile;iOS;;29/01/2023;
31;5352;Mobile;MacOS;Firefox;27/05/2023;1
32;620;tablet;Windows;SAFARI;26/05/2023;
33;3875;DESKTOP;ios;Firefox;26/08/2024;yes
34;1193;mobile;ios;Firefox;07/03/2024;yes
35;2493;mobile;ios;Edge;19/02/2023;True
36;150;tablet;iOS;chrome;09/11/2023;no
37;2197;mobile;MacOS;chrome;18/10/2023;yes
38;3588;DESKTOP;ios;SAFARI;09/08/2023;0
39;2599;Mobile;Windows;Safari;07/07/2023;1
40;866;Tablet;ios;Safari;15/05/2024;yes
41;2129;tablet;;;03/01/2023;False
42;5341;Tablet;android;Chrome;06/05/2023;False
43;5658;tablet;android;Firefox;14/07/2024;True
44;1883;Mobile;MacOS;;24/12/2023;0
45;1607;DESKTOP;ios;chrome;11/03/2023;1
46;2657;Mobile;MacOS;SAFARI;15/02/2023;False
47;5007;Tablet;;;03/03/2024;False
48;162;mobile;MacOS;Edge;07/05/2024;yes
49;5178;DESKTOP;ios;;09/08/2024;True
50;3093;Tablet;Windows;Chrome;14/11/2023;1
51;2590;desktop;Android;chrome;02/08/2024;no
52;1887;mobile;android;Edge;08/04/2024;yes
53;4777;desktop;MacOS;Chrome;12/12/2023;0
54;614;mobile;MacOS;chrome;22/01/2024;True
55;3210;tablet;android;;01/05/2024;False
56;4322;tablet;Android;Firefox;12/09/2024;1
57;1907;tablet;Android;;16/05/2023;True
58;5025;mobile;MacOS;Safari;22/05/2023;0
59;733;tablet;android;SAFARI;31/05/2024;yes
60;4532;tablet;MacOS;;13/10/2024;yes
61;3255;DESKTOP;android;Firefox;16/04/2024;no
62;4061;tablet;;;05/04/2024;yes
63;5142;Mobile;ios;SAFARI;14/11/2024;True
64;4589;desktop;Linux;Firefox;04/04/2024;False
65;898;Mobile;ios;Chrome;02/06/2023;no
66;369;mobile;Linux;Chrome;30/11/2023;yes
67;4550;DESKTOP;MacOS;;02/04/2023;0
68;5349;Mobile;Linux;SAFARI;01/10/2024;False
69;5851;DESKTOP;Linux;SAFARI;11/11/2024;True
70;4387;Mobile;android;SAFARI;30/09/2024;0
71;3864;DESKTOP;iOS;;24/02/2024;no
72;3616;tablet;;chrome;01/02/2024;
73;3772;Tablet;iOS;Firefox;27/08/2023;
74;5615;DESKTOP;;chrome;09/02/2024;1
75;2789;Tablet;android;SAFARI;14/12/2023;True
76;1082;Mobile;MacOS;Edge;07/07/2024;
77;5210;mobile;Windows;Safari;16/02/2023;no
78;5414;tablet;android;Safari;17/11/2024;0
79;199;mobile;ios;;29/03/2024;
80;1519;DESKTOP;Android;chrome;12/10/2023;
81;1502;Tablet;Android;Safari;23/10/2024;
82;3195;mobile;Windows;SAFARI;01/04/2023;yes
83;5810;mobile;Windows;;19/06/2023;True
84;2865;tablet;Linux;Firefox;26/01/2023;0
85;3429;DESKTOP;ios;Firefox;08/08/2024;0
86;162;desktop;ios;Edge;07/10/2024;False
87;3645;Tablet;;Safari;13/11/2023;0
88;546;mobile;;;28/07/2024;no
89;1590;mobile;;Safari;22/10/2024;True
90;2580;DESKTOP;Linux;Chrome;07/05/2023;yes
91;2011;desktop;Linux;Edge;21/10/2024;yes
92;4996;Tablet;Android;Firefox;26/07/2024;False
93;135;desktop;Android;Safari;29/03/2023;False
94;5807;Mobile;MacOS;Edge;17/07/2023;0
95;251;mobile;;Firefox;25/09/2024;True
96;1397;Tablet;Linux;Edge;08/07/2024;1
97;2006;mobile;Windows;Chrome;13/08/2024;
98;401;desktop;;Edge;24/02/2023;1
99;1484;tablet;iOS;Chrome;06/08/2024;no
100;544;mobile;ios;Firefox;18/06/2024;no
101;540;desktop;ios;;13/07/2023;
102;4463;DESKTOP;MacOS;;02/05/2024;no
103;2021;Mobile;Android;SAFARI;29/05/2024;1
104;1802;tablet;MacOS;Safari;20/01/2023;1
105;5077;desktop;;SAFARI;04/05/2023;0
106;4251;Tablet;Android;SAFARI;05/11/2024;False
107;637;Tablet;MacOS;Chrome;28/06/2024;1
108;3616;tablet;;Safari;04/07/2023;yes
109;5506;Tablet;ios;Firefox;20/01/2023;False
110;1874;tablet;;Safari;09/10/2023;0
111;3524;tablet;;;30/07/2023;
112;261;Mobile;Android;Edge;09/09/2023;1
113;2517;tablet;Windows;Edge;16/08/2024;True
114;5209;mobile;MacOS;Chrome;30/03/2024;no
115;1010;mobile;MacOS;Firefox;28/03/2023;True
116;2194;tablet;android;Safari;30/06/2024;0
117;1011;desktop;android;SAFARI;13/09/2024;
118;5553;DESKTOP;iOS;Edge;25/11/2023;0
119;5784;Tablet;android;Edge;16/02/2024;1
120;78;DESKTOP;ios;;26/08/2024;0
121;4995;mobile;Linux;SAFARI;16/02/2023;
122;3858;desktop;ios;Chrome;18/05/2024;yes
123;4328;Mobile;Android;Chrome;24/01/2023;False
124;5619;mobile;android;Firefox;15/12/2023;no
125;5095;mobile;ios;chrome;23/03/2024;no
126;3329;Tablet;Linux;Firefox;04/07/2023;yes
127;951;mobile;Windows;Chrome;29/02/2024;1
128;5136;Mobile;Android;Edge;25/01/2023;no
129;818;Tablet;;Edge;24/06/2024;1
130;3388;DESKTOP;;chrome;21/11/2023;
131;3592;Mobile;android;;27/01/2024;no
132;3627;mobile;android;Chrome;21/09/2023;
133;5764;desktop;Linux;SAFARI;04/04/2023;0
134;4732;desktop;;;28/04/2023;1
135;3377;mobile;Android;chrome;12/04/2023;no
136;103;desktop;iOS;Firefox;08/07/2024;1
137;5087;Mobile;Linux;Chrome;22/06/2023;yes
138;5783;Tablet;MacOS;;20/10/2023;0
139;3771;tablet;android;Edge;28/05/2023;1
140;2598;Mobile;MacOS;chrome;07/07/2023;1
141;5936;Mobile;android;chrome;19/09/2023;True
142;4186;DESKTOP;Windows;;02/04/2023;0
143;570;Tablet;Linux;Edge;07/06/2023;
144;4687;mobile;Windows;Safari;11/11/2023;1
145;4750;tablet;;chrome;22/02/2024;1
146;5425;tablet;Linux;;25/11/2024;0
147;1139;Tablet;Android;SAFARI;23/06/2023;1
148;2827;tablet;MacOS;Edge;02/03/2023;yes
149;715;desktop;android;Edge;21/09/2024;0
150;3510;DESKTOP;Windows;;30/11/2023;yes
151;1898;DESKTOP;Linux;;05/07/2023;1
152;5338;Tablet;MacOS;Edge;28/01/2023;1
153;2187;DESKTOP;Linux;Firefox;01/03/2023;1
154;1562;tablet;;chrome;02/11/2023;0
155;4062;tablet;Windows;chrome;04/02/2024;1
156;4197;Tablet;Windows;Chrome;12/04/2023;yes
157;3932;DESKTOP;;Firefox;24/11/2023;yes
158;1567;desktop;Windows;Chrome;26/05/2023;0
159;5887;Mobile;android;;27/02/2024;True
160;4360;mobile;;Safari;28/11/2023;1
161;3448;Mobile;android;SAFARI;22/09/2023;0
162;1780;Tablet;ios;Chrome;20/01/2024;
163;1929;tablet;ios;;04/05/2023;False
164;5593;Tablet;;Chrome;23/02/2023;True
165;2233;mobile;Linux;chrome;27/07/2023;1
166;3222;Tablet;ios;Edge;03/09/2023;True
167;3238;DESKTOP;Windows;Chrome;03/09/2024;no
168;5161;desktop;android;Chrome;23/08/2024;yes
169;2673;tablet;Linux;SAFARI;31/08/2023;no
170;4863;desktop;MacOS;;19/05/2024;
171;1088;Tablet;Android;SAFARI;04/06/2024;
172;955;Mobile;iOS;Safari;31/05/2024;1
173;5994;desktop;Windows;Safari;30/01/2024;yes
174;2154;mobile;MacOS;chrome;28/04/2023;0
175;3118;DESKTOP;android;Edge;03/10/2023;1
176;5026;desktop;Windows;;04/03/2023;
177;4697;mobile;MacOS;Chrome;22/11/2023;yes
178;5306;Tablet;Windows;Edge;20/04/2024;False
179;4974;mobile;Windows;Chrome;20/07/2024;yes
180;4248;tablet;Linux;Safari;21/02/2024;
181;1203;mobile;ios;Edge;09/03/2023;1
182;758;Tablet;;;10/05/2024;yes
183;1454;tablet;Android;Chrome;30/01/2023;yes
184;794;desktop;ios;Safari;22/02/2024;0
185;192;DESKTOP;ios;Safari;10/10/2024;
